113.14	5.18	58.20
113.52	5.18	58.69
113.94	5.18	59.11
114.36	5.18	59.42
114.93	5.18	59.46
115.45	5.17	59.33
115.81	5.17	59.09
115.90	5.17	58.76
115.14	5.17	58.37
114.10	5.17	57.94
112.91	5.17	57.49
111.67	5.16	57.04
110.85	5.16	56.68
110.18	5.16	56.35
109.60	5.16	56.07
109.12	5.16	55.82
108.71	5.16	55.61
108.38	5.15	55.40
108.12	5.15	55.24
107.92	5.15	55.14
107.78	5.15	55.11
107.68	5.15	55.15
107.51	5.15	55.25
107.37	5.14	55.46
107.34	5.14	55.79
107.46	5.14	56.28
107.88	5.14	57.14
108.76	5.14	58.58
109.66	5.14	59.91
110.47	5.14	60.89
110.90	5.13	60.87
110.80	5.13	59.52
110.50	5.13	57.87
110.04	5.13	56.21
109.54	5.13	55.45
109.05	5.13	55.73
108.54	5.13	56.32
108.02	5.13	57.08
107.52	5.13	57.87
107.11	5.12	58.00
106.75	5.12	57.94
106.44	5.12	57.81
106.18	5.12	57.64
105.96	5.12	57.48
105.76	5.12	57.48
105.62	5.12	57.54
105.55	5.12	57.66
105.56	5.12	57.82
105.68	5.11	58.05
106.02	5.11	58.35
106.43	5.11	58.71
106.90	5.11	59.11
107.39	5.10	59.56
107.96	5.09	60.20
108.48	5.08	60.82
108.90	5.07	61.34
109.14	5.05	61.68
108.76	5.04	61.29
108.24	5.03	60.75
107.67	5.02	60.17
107.15	5.00	59.68
107.15	4.99	59.97
107.32	4.98	60.47
107.60	4.97	61.06
107.95	4.96	61.66
108.33	4.94	62.08
108.71	4.93	62.09
109.04	4.92	62.00
109.30	4.91	61.85
109.45	4.89	61.68
109.19	4.88	61.50
108.85	4.87	61.37
108.56	4.86	61.31
108.47	4.85	61.43
108.84	4.86	61.90
109.29	4.87	62.38
109.70	4.88	62.78
109.77	4.89	62.76
109.64	4.90	62.47
109.45	4.91	62.06
109.26	4.92	61.61
109.27	4.93	61.28
109.32	4.94	60.97
109.40	4.95	60.67
109.51	4.95	60.38
109.51	4.96	60.08
109.57	4.97	59.81
109.72	4.98	59.59
110.02	4.98	59.45
110.74	4.99	59.44
111.57	4.99	59.51
112.46	5.00	59.65
113.32	5.00	59.83
113.98	5.00	60.12
114.56	5.01	60.40
115.06	5.01	60.63
115.46	5.02	60.72
115.71	5.02	60.50
115.88	5.03	60.21
115.99	5.03	59.90
116.07	5.04	59.63
116.16	5.04	59.67
116.24	5.04	59.76
116.30	5.05	59.86
116.34	5.05	59.95
116.31	5.06	59.83
116.27	5.06	59.65
116.27	5.06	59.47
116.33	5.07	59.35
116.60	5.07	59.42
117.00	5.07	59.62
117.44	5.07	59.88
117.90	5.07	60.17
118.33	5.06	60.55
118.70	5.06	60.91
118.99	5.06	61.16
119.15	5.05	61.24
118.96	5.05	60.76
118.62	5.05	60.05
118.21	5.05	59.24
117.77	5.04	58.41
117.50	5.04	57.82
117.35	5.04	57.42
117.22	5.04	57.09
117.08	5.03	56.81
116.90	5.03	56.57
116.47	5.03	56.24
116.04	5.03	55.97
115.64	5.02	55.75
115.31	5.02	55.63
115.24	5.03	55.65
115.33	5.03	55.80
115.51	5.04	56.05
115.76	5.04	56.39
116.06	5.05	56.96
116.38	5.05	57.62
116.70	5.06	58.24
116.98	5.06	58.77
117.09	5.07	58.88
117.13	5.07	58.78
117.13	5.08	58.57
117.11	5.08	58.30
117.15	5.09	58.11
117.22	5.09	57.97
117.29	5.10	57.84
117.35	5.10	57.73
117.36	5.11	57.66
117.27	5.11	57.62
117.20	5.11	57.62
117.15	5.12	57.66
117.16	5.12	57.75
117.43	5.12	58.11
117.79	5.12	58.49
118.12	5.12	58.76
118.37	5.12	58.84
118.31	5.11	58.29
118.04	5.11	57.32
117.71	5.11	56.26
117.37	5.10	55.23
117.20	5.10	54.61
117.16	5.10	54.32
117.17	5.09	54.23
117.22	5.09	54.34
117.30	5.08	54.72
117.41	5.08	55.47
117.52	5.08	56.30
117.61	5.07	57.12
117.66	5.07	57.85
117.61	5.07	58.03
117.48	5.06	57.94
117.32	5.06	57.77
117.13	5.05	57.57
116.92	5.05	57.49
116.70	5.05	57.63
116.49	5.05	57.80
116.28	5.04	57.97
116.15	5.04	58.13
116.13	5.04	58.28
116.11	5.04	58.33
116.03	5.04	58.26
115.86	5.04	58.00
115.32	5.04	57.09
114.65	5.03	55.98
113.92	5.03	54.86
113.19	5.03	53.85
112.55	5.03	53.27
112.12	5.03	53.48
111.76	5.03	53.88
111.45	5.03	54.41
111.19	5.03	54.97
110.94	5.02	55.26
